scope,pair,strategy,leader,follower,n_bars,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,turnover,n_trades
intra_sector,AAPL/MSFT,buy_hold_follower,AAPL,MSFT,5078,0.25378916235637416,0.07568243830690013,0.23885597350351748,0.31685386468170373,-0.3463279568340769,0.5161608198659835,0.0,0
intra_sector,XOM/CVX,spread_mr,XOM,CVX,5078,0.009343653296914889,0.0030044737961636425,0.06295247406918121,0.04772606383764831,-0.10297788941572383,0.50523311132255,150.0,150
intra_sector,XOM/CVX,lead_lag,XOM,CVX,5078,-0.7975175032561101,-0.4026032707163141,0.22365439466155904,-1.8001133906872082,-0.8054967557621078,0.4697389240506329,5103.0,2581
intra_sector,XOM/CVX,buy_hold_follower,XOM,CVX,5078,0.26493919985766357,0.07875891347760611,0.22384740972649292,0.3518419693747512,-0.22693656524302386,0.5182322631787555,0.0,0
intra_sector,WMT/TGT,spread_mr,WMT,TGT,5078,0.4973497102202704,0.13907850693769697,0.14846785103620594,0.9367584023545996,-0.18263685006229258,0.50764242704956,160.0,160
intra_sector,WMT/TGT,lead_lag,WMT,TGT,5078,-0.6495149421148749,-0.2869417959862218,0.3481597336431507,-0.8241670941773102,-0.7535130768709343,0.4759083728278041,5067.0,2566
intra_sector,WMT/TGT,buy_hold_follower,WMT,TGT,5078,-0.07162907119598894,-0.0236894075527877,0.34679652263711613,-0.06830924189391606,-0.5368047996140842,0.5019794140934284,0.0,0
intra_sector,F/GM,spread_mr,F,GM,5078,0.2077464779317395,0.06277849591682605,0.1069191226732758,0.5871587265887415,-0.21908312632897187,0.5160751565762004,162.0,162
intra_sector,F/GM,lead_lag,F,GM,5078,-0.770156276744913,-0.3776729982845747,0.32781703312395966,-1.1520847305751885,-0.78268843264874,0.45528455284552843,5121.0,2725
intra_sector,F/GM,buy_hold_follower,F,GM,5078,1.0986770107913433,0.2701333828396011,0.33761581343375524,0.8001206462818866,-0.35523742242235745,0.5075606844409073,0.0,0
intra_sector,UPS/FDX,spread_mr,UPS,FDX,5078,0.16096970378183761,0.04932287358754439,0.12447408337798781,0.39625014500220634,-0.18013948734678686,0.50830078125,161.0,161
